"Ширина выработки, м","Высота выработки, м","Глубина выработки, м","Влияние других смежных выработок на расстоянии, м","Ширина взаимовлияющей выработки, м","Охрана целиком, его ширина, м",Коэффициент концентрации напряжений в боках (Кв),"Расстояние от влияющего пласта до горной выработки в кровле, м","Содержание песчаника в породах междупластья, %",Рекомендуемое крепление,"Сопротивление пород кровли на сжатие, МПа, Rc (на 0.5В)","Смещение пород в кровли, мм, Um"
0.56,0.9025787965616048,0.1738173309318186,0.8521212121212121,0.9933333333333334,0.07806939501779357,0.36999999999999994,0.6131045241809674,0.22019510959077665,,0.26050620821394466,0.453376784717596
0.9742857142857144,0.9885386819484241,0.9194876768423159,0.14909090909090916,0.7676190476190476,0.3747775800711744,0.006666666666666654,0.4568754178738578,0.5817813252248828,,0.0952722063037249,0.303469509011361
0.8695238095238096,0.5816618911174787,0.7844563493896151,0.21696969696969692,0.4780952380952381,0.5193505338078293,0.07,0.20080231780699803,0.15266692005574561,,0.052531041069723006,0.6947120145478116
0.4047619047619047,0.6418338108882522,0.6029341584691883,0.3466666666666667,0.14857142857142858,0.9294928825622777,0.33,0.5047916202362381,0.19751678702647918,,0.2705348615090736,0.10611980338848778
0.9504761904761905,0.18338108882521498,0.9759694576579074,0.3054545454545454,0.999047619047619,0.5765124555160143,0.34,0.5538221528861156,0.14886608387178513,,0.07664756446991411,0.9078158477521112
0.2485714285714286,0.7765042979942693,0.0931972474945735,0.5272727272727272,0.680952380952381,0.8202846975088968,0.8733333333333333,0.06931134388232674,0.4070695553021665,,0.3192454632282713,0.7454313030013864
0.3685714285714286,0.813753581661891,0.10856078449483522,0.349090909090909,0.7085714285714284,0.881450177935943,0.26333333333333336,0.2658792065968353,0.013429621183326999,,0.134909264565425,0.4482814497398319
0.3228571428571428,0.7220630372492836,0.37786142028048464,0.1260606060606061,0.21428571428571425,0.26045373665480426,0.6933333333333334,0.5934923111210164,0.15013302926643862,,0.1831423113658071,0.025746745647359605
0.4780952380952381,0.29226361031518633,0.39129296941147496,0.3999999999999999,0.05047619047619045,0.6247775800711743,0.3499999999999999,0.7379095163806553,0.8753325731660965,,0.031996179560649485,0.7806485299148377
0.4752380952380952,0.9684813753581663,0.13440785726381257,0.2606060606060606,0.6571428571428573,0.8796708185053381,0.7733333333333332,0.398038778694005,0.6868110984416571,,0.4832855778414519,0.5234691489170163
0.8257142857142856,0.6504297994269339,0.9789097738573562,0.41575757575757566,0.8838095238095238,0.7604537366548043,0.05333333333333329,0.842879429462893,0.9187888002027113,,0.667621776504298,0.7796942799013342
0.9838095238095239,0.7793696275071633,0.8147600794347205,0.7224242424242424,0.10476190476190478,0.9032473309608542,0.16333333333333333,0.25295297526186766,0.9552768275687318,,0.23734479465138492,0.9545020795448408
0.179047619047619,0.2063037249283669,0.8399374990378549,0.21454545454545448,0.04190476190476189,0.36098754448398584,0.8333333333333333,0.42322264319144204,0.37894336754085906,,0.9200095510983763,0.5805801119893412
0.39619047619047615,0.6017191977077363,0.14293631367477952,0.23272727272727267,0.5028571428571429,0.8598754448398577,0.6366666666666667,0.42344550924894137,0.9789687064487521,,0.5109837631327603,0.7638861381682001
0.1333333333333333,1.0,0.3834957434689573,0.36,0.881904761904762,0.603202846975089,0.5533333333333335,0.9529752618676177,0.9064994298745724,,0.44078319006685773,0.7075313732197837
0.7495238095238095,0.9312320916905443,0.3412998968580182,0.8412121212121211,0.9571428571428573,0.94817615658363,0.35333333333333333,0.2707822598618231,0.7250728493601926,,0.17048710601719202,0.08998757674510724
0.8352380952380951,0.7191977077363896,0.20031866254098743,0.40727272727272734,0.5504761904761906,0.8425266903914591,0.7966666666666666,0.9875195007800313,0.6917521854808057,,0.9859121298949378,0.6329378297113845
0.5438095238095237,0.17478510028653294,0.7917763512369341,0.34545454545454535,0.6314285714285715,0.24777580071174382,0.4000000000000001,0.4626699353688433,0.9262637780311669,,0.33333333333333337,0.5174735780774564
0.04476190476190475,0.6590257879656161,0.79680259856217,0.9963636363636363,0.778095238095238,0.3229537366548043,0.6566666666666667,0.16915533764207713,0.4477385024705436,,0.8724928366762177,0.979708683675123
0.49047619047619045,0.7851002865329513,0.295386320602226,0.42181818181818187,0.8876190476190478,0.9684163701067616,0.24333333333333335,0.573657232003566,0.2830356011655898,,0.14040114613180515,0.5651680740353973
0.4019047619047618,0.13180515759312328,0.12495574131375178,0.7854545454545454,0.598095238095238,0.9690836298932386,0.6033333333333333,0.12569645642968577,0.021918155327505386,,0.9847182425978989,0.7626798221133938
0.6571428571428573,0.5702005730659028,0.6376098769993381,0.08727272727272717,0.45142857142857146,0.8778914590747332,0.2966666666666666,0.327613104524181,0.4136576713543646,,0.9429321872015282,0.8633261914621632
0.12571428571428567,0.14040114613180532,0.8830339136994105,0.042424242424242364,0.19904761904761903,0.2682384341637011,0.22999999999999993,0.690884778248273,0.613074876472824,,0.7913085004775549,0.35850992960155564
0.4047619047619047,0.6217765042979944,0.1864560722917533,0.36484848484848476,0.2733333333333333,0.014234875444839853,0.6433333333333333,0.31958992645420103,0.04915748131255543,,0.8958930276981854,0.23352118254982807
0.5266666666666666,0.14040114613180532,0.6891731707692546,0.10545454545454547,0.7666666666666666,0.21819395017793597,0.6333333333333333,0.4147537330064632,0.773850247054352,,0.8493314231136582,0.583604904484975
0.12666666666666665,0.3467048710601719,0.9486368324635539,0.4824242424242424,0.04666666666666666,0.3565391459074733,0.8866666666666667,0.6808558056607978,0.9605979982262765,,0.9281279847182426,0.5336058047208369
0.980952380952381,0.11174785100286544,0.13789467202389202,0.8024242424242423,0.3523809523809524,0.6165480427046264,0.5266666666666666,0.0020057945174950104,0.6679336120613201,,0.5962273161413563,0.2544426639779622
